"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.448436","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","6.505736","0","9"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","435.796661","0","88"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","25.684072","0","46"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","1.463088","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","3.382016","0","6"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","11","11","1","5.959484","12","17"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","2.480168","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.035320","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","8.344205","0","14"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","0.721445","0","3"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","113.751038","0","112"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","9.063275","0","14"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","16.344072","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","2.823083","0","6"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","112.695457","0","128"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","5.147727","0","9"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","3.020563","0","7"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","136.879395","0","128"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.221410","0","2"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","53.408978","0","92"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","33.084599","0","63"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","3.414683","0","6"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","186.715530","0","28"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","9.697669","0","12"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","0.844015","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","1.516318","0","3"
"/Game/enemy1/material/EyeSpec_MAT4.EyeSpec_MAT4","0","6","6","1","4.255981","0","6"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","0.844574","0","3"
"/Game/enemy1/material/EyeSpec_MAT2.EyeSpec_MAT2","0","6","6","1","0.000000","0","6"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","1.456447","0","2"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","124.793327","0","112"
"/Game/Bow/source/wing_mt.wing_mt","0","3","3","1","2.113114","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","0.820570","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","4.164908","0","6"
"/Game/Blood/D_Blood2.D_Blood2","0","9","9","1","5.008040","0","9"
"/Game/Blood/D_Blood1.D_Blood1","0","9","9","1","3.865588","0","9"
"/Game/Bow/source/arrow_mt.arrow_mt","0","3","3","1","1.847064","0","3"
"/Game/Weapon/textures/M_Sword.M_Sword","0","3","3","1","1.800386","0","3"
"/Game/TargetLock/D_TargetLock.D_TargetLock","0","11","11","1","4.601361","0","11"
"/Game/MainCharacter/Materials/SpacePirate_M.SpacePirate_M","0","6","6","1","3.925110","0","6"
"/Game/enemy1/material/phong4.phong4","0","6","6","1","3.269859","0","6"
"/Game/enemy1/material/blinn7.blinn7","0","6","6","1","2.900602","0","6"
"/Game/enemy1/material/MaleBruteA_Moustache5.MaleBruteA_Moustache5","0","28","32","1","19.962267","0","32"
"/Game/enemy1/material/MaleBruteA_Hair6.MaleBruteA_Hair6","0","28","32","1","13.308656","0","32"
"/Game/enemy1/material/Lashes_MAT4.Lashes_MAT4","0","28","32","1","19.860321","0","32"
"/Game/enemy1/material/Body_MAT4.Body_MAT4","0","6","6","1","3.015978","0","6"
"/Game/enemy1/material/MaleBruteA_Bottom5.MaleBruteA_Bottom5","0","6","6","1","2.891371","0","6"
"/Game/enemy1/material/MaleBruteA_Shoes6.MaleBruteA_Shoes6","0","6","6","1","0.000000","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","7.055892","0","25"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","5.665421","0","6"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","9.294023","0","25"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","29.413754","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","30.380249","0","32"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","3.098078","0","6"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","4.478509","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","13.815873","0","25"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","4.912971","0","13"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","4.082681","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","2.045242","0","9"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","5.157558","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","11.151154","0","25"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.443529","0","5"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","3.894822","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","0.882683","0","5"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","26.660995","0","42"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","5.406710","0","10"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","4.789668","0","7"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","11.389712","0","16"
"/Game/Weapon/Trail/M_Trail.M_Trail","0","32","32","1","18.013680","0","32"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","3.356317","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","1.593730","0","5"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.206932","0","2"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","2.053064","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","17.251575","0","33"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","14.253513","0","24"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","42.832481","0","63"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","0","1","0.000000","0","0"
"Globals","49","10300","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","4.421119","0","7"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","12","14","1","7.651366","0","14"
"","49","64","0","1","0.000000","65","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","8","8","1","4.235006","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","12.282331","0","11"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","12.817369","0","21"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","8","1","1.704811","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","10","1","2.379648","0","10"
